35
17
249
5;15
211
4;5
1;10
10;6
15;6
3;8
8;0
15;16
2;8
7;5
9;5
2;5
7;3
11;5
1;3
2;1
1;16
14;10
11;3
10;3
15;7
15;3
7;1
6;12
4;10
10;4
7;2
7;10
7;4
8;4
4;1
0;12
13;3
7;0
14;7
5;15
16;8
5;13
11;12
15;12
7;12
7;8
16;7
8;6
4;4
1;8
14;13
16;9
10;14
13;10
1;12
2;12
6;10
15;13
10;13
2;14
9;14
5;2
14;5
9;7
11;10
9;3
3;0
7;13
1;0
9;16
14;3
3;9
12;15
16;14
1;1
3;14
8;12
1;7
14;4
5;5
16;15
9;6
2;7
13;4
8;8
8;3
0;5
3;6
11;13
1;15
11;8
9;8
10;5
1;5
3;13
2;11
0;13
1;11
15;4
6;16
13;14
12;2
12;3
5;12
5;4
7;16
3;15
6;13
7;14
11;2
6;7
0;8
11;4
4;14
12;1
16;6
13;5
2;15
12;10
16;10
0;15
1;13
12;14
6;15
6;9
15;0
8;10
9;13
4;2
10;10
1;4
8;16
5;8
12;6
11;16
10;9
10;11
16;1
11;14
10;0
15;10
14;11
9;2
2;16
6;8
9;15
4;11
2;4
5;6
0;4
15;14
9;0
5;11
14;8
13;12
12;0
9;4
10;2
9;1
5;9
16;13
12;7
2;2
12;13
2;0
16;5
13;2
6;2
11;9
6;1
4;3
14;6
8;14
1;2
2;10
16;11
0;6
16;0
8;11
7;9
15;2
5;10
13;9
3;5
9;12
16;16
6;6
12;8
0;9
5;16
0;7
3;12
8;13
14;12
0;3
14;1
7;11
13;11
10;8
13;6
5;3
6;11
11;11
12;9
11;15
4;0
16;2
10;15
2;13
4;9
8;7
2;9
12;5
16;3
12;11
1;14
1;12
211
1;1
11;11
8;9
1;4
11;8
13;5
7;0
6;15
10;14
2;0
10;9
3;14
1;5
1;0
5;2
16;16
10;8
0;11
14;10
10;2
13;13
4;15
6;0
11;0
4;1
12;6
2;7
10;16
8;10
1;3
1;6
4;3
3;1
4;9
0;13
13;7
1;8
11;12
9;3
13;6
1;15
16;3
2;9
15;2
5;5
11;9
14;3
2;11
10;3
7;13
7;16
4;8
16;10
16;0
0;16
15;16
9;15
9;5
14;0
12;13
3;12
8;13
14;14
16;1
1;10
14;13
11;7
7;6
13;0
7;12
11;13
2;15
11;10
0;9
7;2
0;8
11;2
7;10
7;3
1;9
3;6
9;9
9;0
5;6
3;3
3;10
4;2
2;4
13;3
14;9
6;6
6;5
1;13
4;4
2;1
15;10
0;15
11;1
14;12
0;1
12;14
15;7
8;2
3;8
2;5
12;5
14;2
6;1
10;13
10;10
15;3
11;15
8;14
3;4
8;8
12;4
4;6
4;7
8;15
14;4
0;10
13;12
13;1
3;11
11;6
0;12
13;10
5;16
1;2
12;9
3;15
6;7
14;7
5;10
16;9
10;7
7;7
8;4
8;5
0;4
3;5
15;15
7;11
15;12
7;9
8;3
0;5
6;3
9;13
2;16
15;6
9;1
12;3
3;2
12;15
15;11
1;7
4;0
8;7
10;12
4;14
6;4
1;14
15;5
2;10
9;6
12;16
16;15
9;10
8;6
10;0
10;11
13;9
8;0
6;16
0;14
13;2
7;5
9;8
4;12
2;6
3;0
16;13
5;8
16;8
15;4
11;5
6;8
16;14
13;15
14;11
11;3
7;15
7;1
2;3
4;5
7;14
12;0
3;13
10;6
2;13
10;1
3;16
8;1
13;8
9;7
15;13
14;8
4;10
12;1
11;4
17;30
211
15;16
11;15
9;16
2;12
4;4
14;9
8;16
13;6
11;1
5;3
7;2
5;14
6;14
11;0
3;16
12;14
7;7
4;8
15;3
9;1
9;3
5;6
0;12
10;16
7;13
4;6
10;9
15;2
5;11
5;2
15;13
13;8
7;5
10;1
0;1
7;3
3;2
16;8
7;6
7;0
15;8
8;8
15;0
13;16
16;10
0;10
3;11
8;2
5;15
16;14
12;16
14;3
6;3
0;5
8;10
1;10
14;1
4;1
8;6
1;3
8;5
6;16
16;12
2;0
12;6
2;10
0;0
15;9
5;7
1;1
8;7
0;3
10;7
3;7
6;2
2;13
10;11
2;1
15;11
14;2
16;3
6;11
10;0
9;7
7;4
6;7
9;10
8;14
6;15
0;9
0;7
6;4
3;8
1;15
11;2
3;5
5;9
13;13
12;15
16;16
4;16
3;4
8;13
5;4
5;12
3;0
10;4
4;14
2;6
10;13
9;9
9;2
5;10
8;4
10;6
16;7
4;0
15;1
3;13
3;15
8;11
0;11
4;9
10;8
14;11
10;12
11;9
16;1
0;13
10;3
0;2
9;5
13;1
12;10
1;11
15;14
5;0
12;7
8;12
12;0
15;4
0;14
7;10
3;12
9;8
14;7
6;8
16;9
7;14
13;7
2;16
4;11
11;10
1;4
16;4
6;12
13;2
7;11
1;9
4;5
1;7
0;4
9;11
11;8
14;12
14;6
9;15
2;5
5;16
3;9
14;13
2;9
1;0
12;1
12;2
0;8
9;14
1;12
4;15
4;2
9;12
15;15
1;2
3;14
10;15
2;3
0;15
14;0
9;4
7;16
16;2
13;4
6;0
6;6
4;10
16;0
11;5
1;16
1;14
7;9
5;1
7;15
2;11
5;13
13;15
10;5
1;5
12;5
11;11
6;9
13;14
5;23
211
2;14
13;3
1;12
14;12
1;4
10;16
16;0
5;4
15;1
11;9
10;7
2;2
14;16
16;4
8;4
6;6
9;13
0;6
5;5
10;1
10;11
1;9
0;5
5;1
11;7
11;12
6;4
16;6
11;14
10;0
12;6
7;8
2;13
11;16
5;16
7;13
0;4
8;2
6;5
14;10
7;2
10;13
12;5
2;8
4;12
6;7
12;15
7;10
4;5
5;6
0;16
10;8
12;10
11;2
4;3
15;14
14;15
6;2
1;3
3;9
1;16
12;9
0;8
16;8
2;7
4;4
1;0
10;2
